"Date of Case",Reference,"Notification From","Country Origin",Product,"Product Category","Hazard Substance","Hazard Category"
"Oct 30, 2024","2024.8046",Italy,Ireland,"Lamb legs","Meat and meat products (other than poultry)","Escherichia coli shigatoxin-producing - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 30, 2024","2024.8045",Poland,Poland,"Turkey medallions","Poultry meat and poultry meat products","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 30, 2024","2024.8044",Netherlands,India,"PUSA BROWN","Cereals and bakery products","Ochratoxin A - mycotoxins",Mycotoxins
"Oct 30, 2024","2024.8041",Poland,China,"Łyżka kuchenna (tablespoon)","Food contact materials","Primary aromatic amines - migration - migration",Migration
"Oct 30, 2024","2024.8040",France,Spain,"Organic Maca powder","Dietetic foods, food supplements and fortified foods","Cadmium - heavy metals; Cadmium - heavy metals","Heavy metals; Heavy metals"
"Oct 30, 2024","2024.8039",Portugal,Peru,"Ginger bio","Fruits and vegetables","Tebufenpyrad - pesticide residues","Pesticide residues"
"Oct 30, 2024","2024.7999",Belgium,Netherlands,"Butterfly pea flowers","Cocoa and cocoa preparations, coffee and tea",,
"Oct 30, 2024","2024.7997",Lithuania,Poland,"Fresh fillets of broiler chickens","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 30, 2024","2024.7996",Lithuania,Poland,"Middle parts of the fresh wings of broiler chicken","Poultry meat and poultry meat products","Salmonella infantis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 30, 2024","2024.7994",Belgium,"Türkiye","Coffee drink with milk","Non-alcoholic beverages",,
"Oct 30, 2024","2024.7993",Poland,"Czech Republic","Mak niebieski / blue poppy","Nuts, nut products and seeds","Opium alkaloids - too high content - composition",Composition
"Oct 30, 2024","2024.7992",Estonia,Latvia,"Salted trout fillet sliced 100g","Fish and fish products","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 30, 2024","2024.7991",Cyprus,Greece,"Organic Corn","Feed materials","Aflatoxin B1 - mycotoxins",Mycotoxins
"Oct 30, 2024","2024.7987",Italy,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 30, 2024","2024.7986",Cyprus,Egypt,"Iceberg Lettuce","Fruits and vegetables","Cyfluthrin - pesticide residues; Dimethoate - pesticide residues; Lufenuron - pesticide residues; Omethoate - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Oct 29, 2024","2024.7982",Spain,"Italy; Spain","Brotes germinados de Brassica oleracea (col lombarda) // Sprouts of Brassica oleracea (red cabbage)","Nuts, nut products and seeds","Salmonella spp - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 29, 2024","2024.7981",Finland,Poland,Lollipop,Confectionery,,
"Oct 29, 2024","2024.7980",Germany,Germany,"Chicken fricassee","Prepared dishes and snacks",,
"Oct 29, 2024","2024.7979",France,Peru,"Red quinoa","Cereals and bakery products","Aflatoxin B1 - mycotoxins",Mycotoxins
"Oct 29, 2024","2024.7978",Netherlands,Netherlands,"Vegan Tortilla Wraps","Cereals and bakery products",,
"Oct 29, 2024","2024.7977",Germany,Hungary,"Chocolate pretzels","Other food product / mixed","Lye - chemical contamination (other)","Chemical contamination (other)"
"Oct 29, 2024","2024.7976",Hungary,,"Food supplement","Dietetic foods, food supplements and fortified foods","Sildenafil - composition",Composition
"Oct 29, 2024","2024.7975",Sweden,Italy,Rucola,"Fruits and vegetables",,
"Oct 29, 2024","2024.7974",France,"United States","Food supplements","Dietetic foods, food supplements and fortified foods",,
"Oct 29, 2024","2024.7973",Spain,India,"Arroz largo / long rice","Cereals and bakery products","Ochratoxin A - mycotoxins",Mycotoxins
"Oct 29, 2024","2024.7972",Spain,Algeria,"Dátiles / Dates","Fruits and vegetables",,
"Oct 29, 2024","2024.7971",France,Canada,"Food supplement","Dietetic foods, food supplements and fortified foods",,
"Oct 29, 2024","2024.7970",Ireland,"United Kingdom","Food supplement","Dietetic foods, food supplements and fortified foods",,
"Oct 29, 2024","2024.7968","Czech Republic",Poland,"Chilled turkey lower legs","Poultry meat and poultry meat products","Salmonella typhimurium - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 29, 2024","2024.7966",Poland,Poland,"chicken leg meat samples without skin","Poultry meat and poultry meat products","Salmonella spp - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 29, 2024","2024.7965",Croatia,"Bosnia and Herzegovina","Red pepper","Fruits and vegetables","Cadmium - heavy metals","Heavy metals"
"Oct 29, 2024","2024.7964",Italy,Spain,"Cozza confezionata 0,5 - 1 - 5 kg - origine Spagna","Bivalve molluscs and products thereof","Hepatitis A virus - suspicion - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 29, 2024","2024.7962",Poland,"United States","Cebula suszona w proszku//Dried onion powder","Fruits and vegetables","Cadmium - heavy metals","Heavy metals"
"Oct 29, 2024","2024.7961",Italy,"Türkiye","Dried figs","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Oct 29, 2024","2024.7960",Austria,Austria,"Limonaden /// Soft drink products","Non-alcoholic beverages","Metal pieces - foreign bodies","Foreign bodies"
"Oct 29, 2024","2024.7959",France,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 29, 2024","2024.7956",Bulgaria,"Türkiye","DRIED FIG","Fruits and vegetables","Aflatoxins - mycotoxins; Aflatoxins - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 29, 2024","2024.7954",Greece,Pakistan,"MASALA from Pakistan","Herbs and spices","Aflatoxin B1 - mycotoxins",Mycotoxins
"Oct 29, 2024","2024.7949",Netherlands,Colombia,"Passion fruit","Fruits and vegetables","Carbendazim - pesticide residues","Pesticide residues"
"Oct 29, 2024","2024.7948",Netherlands,Pakistan,Rice,"Cereals and bakery products","Thiamethoxam - pesticide residues","Pesticide residues"
"Oct 29, 2024","2024.7945",Germany,Austria,"Chicken wings","Poultry meat and poultry meat products","Salmonella infantis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 29, 2024","2024.7944",Belgium,Netherlands,Cod,"Fish and fish products",,
